id	name	element	description	imagepath	attack	defense	power
29	Aang	AIR	Avatar Roku's successor. Also learned how to energybending.	Aang.png	14	6	5
29	Aang	AIR	Avatar Roku's successor. Also learned how to energybending.	Aang.png	14	6	5
30	Appa	AIR	Aang's loyal sky bison friend.	Appa.png	5	8	2
30	Appa	AIR	Aang's loyal sky bison friend.	Appa.png	5	8	2
31	Momo	AIR	Aang's loyal winged lemur friend.	Momo.png	6	5	1
31	Momo	AIR	Aang's loyal winged lemur friend.	Momo.png	6	5	1
32	Gyatso	AIR	Aang's guardian, mentor, and father figure.	Gyatso.png	5	10	3
32	Gyatso	AIR	Aang's guardian, mentor, and father figure.	Gyatso.png	5	10	3
33	Teo	AIR	Paraplegic Earth Kingdom boy who lived in the Northern Air Temple with his father, the mechanist.	Teo.png	5	6	1
33	Teo	AIR	Paraplegic Earth Kingdom boy who lived in the Northern Air Temple with his father, the mechanist.	Teo.png	5	6	1
34	Yangchen	AIR	Air Nomad Avatar before Aang, predecessor of Kuruk.	Yangchen.png	10	8	4
34	Yangchen	AIR	Air Nomad Avatar before Aang, predecessor of Kuruk.	Yangchen.png	10	8	4
35	Afiko	AIR	Airbender of Southern Air Temple that revealed the location of his home to the Fire Nation.	Afiko.png	7	6	2
35	Afiko	AIR	Airbender of Southern Air Temple that revealed the location of his home to the Fire Nation.	Afiko.png	7	6	2
36	Iio	AIR	Air Nomad nun and the Mother Superior of the Eastern Air Temple.	Iio.png	5	8	2
36	Iio	AIR	Air Nomad nun and the Mother Superior of the Eastern Air Temple.	Iio.png	5	8	2
37	Pathik	AIR	A nomadic supercentenarian who possessed great knowledge of the Spirit World.	Pathik.png	9	9	4
37	Pathik	AIR	A nomadic supercentenarian who possessed great knowledge of the Spirit World.	Pathik.png	9	9	4
38	Tashi	AIR	One of five monks in charge of the Southern Air Temple.	Tashi.png	7	9	3
38	Tashi	AIR	One of five monks in charge of the Southern Air Temple.	Tashi.png	7	9	3
39	Wan	AIR	The first Avatar.	Wan.png	10	10	5
39	Wan	AIR	The first Avatar.	Wan.png	10	10	5
40	Mechanist	AIR	An inventor and engineer from the Earth Kingdom who became a refugee after being displaced by a flood.	Mechanist.png	8	8	3
40	Mechanist	AIR	An inventor and engineer from the Earth Kingdom who became a refugee after being displaced by a flood.	Mechanist.png	8	8	3
