id	name	element	description	imagepath	attack	defense	power
53	Bumi	EARTH	King of Omashu, childhood friend of Aang.	Bumi.png	5	12	4
53	Bumi	EARTH	King of Omashu, childhood friend of Aang.	Bumi.png	5	12	4
54	Cabbage Merchant	EARTH	Earth Kingdom businessman and founder of Cabbage Corb.	Cabbage Merchant.png	2	8	1
54	Cabbage Merchant	EARTH	Earth Kingdom businessman and founder of Cabbage Corb.	Cabbage Merchant.png	2	8	1
55	The Boulder	EARTH	Professional earthbending westler who participated in the Earth Rumble tournaments.	The Boulder.png	9	9	4
55	The Boulder	EARTH	Professional earthbending westler who participated in the Earth Rumble tournaments.	The Boulder.png	9	9	4
56	Haru	EARTH	Skilled teenager earthbender that hides his skill because of Fire Nation attack.	Haru.png	6	10	3
56	Haru	EARTH	Skilled teenager earthbender that hides his skill because of Fire Nation attack.	Haru.png	6	10	3
57	Jet	EARTH	Teenage leader of Earth Kingdom refugees that called themselves Freedom Fighters.	Jet.png	8	5	2
57	Jet	EARTH	Teenage leader of Earth Kingdom refugees that called themselves Freedom Fighters.	Jet.png	8	5	2
58	Jin Wei	EARTH	Legendary patriarch of the Gan Jin tribe.	Jin Wei.png	6	5	1
58	Jin Wei	EARTH	Legendary patriarch of the Gan Jin tribe.	Jin Wei.png	6	5	1
59	Kyoshi	EARTH	Earth Kingdom Avatar, predecessor of Avatar Roku	Kyoshi.png	5	15	5
59	Kyoshi	EARTH	Earth Kingdom Avatar, predecessor of Avatar Roku	Kyoshi.png	5	15	5
60	Toph	EARTH	Earthbending master that discover metalbending.	Toph.png	12	8	5
60	Toph	EARTH	Earthbending master that discover metalbending.	Toph.png	12	8	5
61	Long Feng	EARTH	Grand Secretariat of Ba Sing Se and the leader of the Dai Li.	Long Feng.png	4	11	3
61	Long Feng	EARTH	Grand Secretariat of Ba Sing Se and the leader of the Dai Li.	Long Feng.png	4	11	3
62	June	EARTH	Bounty hunter with a shirshu as her pet.	June.png	5	8	2
62	June	EARTH	Bounty hunter with a shirshu as her pet.	June.png	5	8	2
63	Suki	EARTH	Leader of Kyoshi Warrior.	Suki.png	8	8	3
63	Suki	EARTH	Leader of Kyoshi Warrior.	Suki.png	8	8	3
93	Pipsqueak	EARTH	Strongest member of Freedom Fighters.	Pipsqueak.png	3	10	2
93	Pipsqueak	EARTH	Strongest member of Freedom Fighters.	Pipsqueak.png	3	10	2
