id	name	element	description	imagepath	attack	defense	power
41	Zuko	FIRE	Prince of the Fire Nation, Fire Lord after Ozai.	Zuko.png	12	8	5
41	Zuko	FIRE	Prince of the Fire Nation, Fire Lord after Ozai.	Zuko.png	12	8	5
42	Azula	FIRE	Princess of the Fire Nation, daughter of Fire Lord Ozai.	Azula.png	11	7	4
42	Azula	FIRE	Princess of the Fire Nation, daughter of Fire Lord Ozai.	Azula.png	11	7	4
43	Ozai	FIRE	Fire Lord during the final years of the Hundred Year War.	Ozai.png	9	9	4
43	Ozai	FIRE	Fire Lord during the final years of the Hundred Year War.	Ozai.png	9	9	4
44	Ty Lee	FIRE	Skilled acrobatic, mastering chi blocking martial arts.	Ty Lee.png	9	4	2
44	Ty Lee	FIRE	Skilled acrobatic, mastering chi blocking martial arts.	Ty Lee.png	9	4	2
45	Combustion Man	FIRE	Firebending assassin and silent bounty hunter that was hired by Zuko to eliminate Aang.	Combustion Man.png	11	4	3
45	Combustion Man	FIRE	Firebending assassin and silent bounty hunter that was hired by Zuko to eliminate Aang.	Combustion Man.png	11	4	3
46	Chit Sang	FIRE	Inmate at the Boiling Rock prison in the Fire Nation.	Chit Sang.png	7	4	1
46	Chit Sang	FIRE	Inmate at the Boiling Rock prison in the Fire Nation.	Chit Sang.png	7	4	1
48	Zhao	FIRE	Leader of the Fire Nation Navy that is obsessed to capture Aang.	Zhao.png	8	5	2
48	Zhao	FIRE	Leader of the Fire Nation Navy that is obsessed to capture Aang.	Zhao.png	8	5	2
49	Mai	FIRE	Main ally of Princess Azula, proficient at throwing stilettos.	Mai.png	7	6	2
49	Mai	FIRE	Main ally of Princess Azula, proficient at throwing stilettos.	Mai.png	7	6	2
50	Roku	FIRE	Avatar from Fire Nation, predecessor of Aang.	Roku.png	14	6	5
50	Roku	FIRE	Avatar from Fire Nation, predecessor of Aang.	Roku.png	14	6	5
51	Sozin	FIRE	Instigator of the Hundred Year War.	Sozin.png	9	7	3
51	Sozin	FIRE	Instigator of the Hundred Year War.	Sozin.png	9	7	3
52	Great Sage	FIRE	Leader of 5 Fire Sages who resided on Crescent Island.	Great Sage.png	8	3	1
52	Great Sage	FIRE	Leader of 5 Fire Sages who resided on Crescent Island.	Great Sage.png	8	3	1
