id	name	element	description	imagepath	attack	defense	power
17	Katara	WATER	Waterbending master from Southern Water Tribe, sister of Sokka, and friend of Aang.	Katara.png	13	7	5
17	Katara	WATER	Waterbending master from Southern Water Tribe, sister of Sokka, and friend of Aang.	Katara.png	13	7	5
18	Sokka	WATER	Water Tribe warrior of the Southern Water Tribe.	Sokka.png	6	10	3
18	Sokka	WATER	Water Tribe warrior of the Southern Water Tribe.	Sokka.png	6	10	3
19	Yue	WATER	Princess of the Northern Water Tribe.	Yue.png	4	9	2
19	Yue	WATER	Princess of the Northern Water Tribe.	Yue.png	4	9	2
20	Hakoda	WATER	Father of Sokka and Katara, leading the Invasion of the Fire Nation.	Hakoda.png	7	11	4
20	Hakoda	WATER	Father of Sokka and Katara, leading the Invasion of the Fire Nation.	Hakoda.png	7	11	4
21	Huu	WATER	Waterbending master from Foggy Swamp Tribe.	Huu.png	8	5	2
21	Huu	WATER	Waterbending master from Foggy Swamp Tribe.	Huu.png	8	5	2
22	Hama	WATER	Developer of bloodbending.	Hama.png	12	6	4
22	Hama	WATER	Developer of bloodbending.	Hama.png	12	6	4
23	Pakku	WATER	Aang's teacher for waterbending at Northern Water Tribe.	Pakku.png	10	6	3
23	Pakku	WATER	Aang's teacher for waterbending at Northern Water Tribe.	Pakku.png	10	6	3
24	Arnook	WATER	Chief of the Northern Water Tribe.	Arnook.png	4	7	1
24	Arnook	WATER	Chief of the Northern Water Tribe.	Arnook.png	4	7	1
25	Kuruk	WATER	Water Tribe Avatar, predecessor of Avatar Kyoshi.	Kuruk.png	6	14	5
25	Kuruk	WATER	Water Tribe Avatar, predecessor of Avatar Kyoshi.	Kuruk.png	6	14	5
26	Bato	WATER	Friend of Hakoda since childhood.	Bato.png	7	9	3
26	Bato	WATER	Friend of Hakoda since childhood.	Bato.png	7	9	3
27	Due	WATER	Waterbending master from Foggy Swamp Tribe.	Due.png	5	8	2
27	Due	WATER	Waterbending master from Foggy Swamp Tribe.	Due.png	5	8	2
28	Hahn	WATER	Yue's fiance.	Hahn.png	8	3	1
28	Hahn	WATER	Yue's fiance.	Hahn.png	8	3	1
